second,is_mode_a,is_mode_b,is_mode_c,mean velocity (m/s),mean wheel speed (rev/min),net rolling energy (J),net aero energy (J),braked energy (J),total energy (J),gross rolling energy (J),gross aero energy (J),inertia energy (J),cumulative rr (J),cumulative aero (J),cumulative braking (J)
20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,0,0,0.670561341122682,17.0757187570035,84.1667137414275,0.117411728978988,0,1523.17216453681,84.1667137414275,0.117411728978988,1438.8880390664,84.1667137414275,0.117411728978988,0
22,1,0,0,1.98933197866396,50.657965645777,249.694584099568,3.06561589505883,0,4379.17134313949,249.694584099568,3.06561589505883,4126.41114314487,333.861297840996,3.18302762403782,0
23,1,0,0,3.24104648209296,82.5326406588502,406.805783083566,13.2571974910581,0,6679.22595051347,406.805783083566,13.2571974910581,6259.16296993884,740.667080924562,16.4402251150959,0
24,1,0,0,4.49276098552197,114.407315671923,563.916982067564,35.3131038429074,0,9918.42828559719,563.916982067564,35.3131038429074,9319.19819968672,1304.58406299213,51.7533289580033,0
25,1,0,0,5.76682753365507,146.85118131023,723.833738176276,74.6804346874593,0,12347.9888331034,723.833738176276,74.6804346874593,11549.4746602396,2028.4178011684,126.433763645463,0
26,1,0,0,6.97383794767589,177.587475072836,875.333822910846,132.072227106221,0,13976.5835754689,875.333822910846,132.072227106221,12969.1775254518,2903.75162407925,258.505990751683,0
27,1,0,0,7.64439928879858,194.66319382984,959.500536652273,173.950642598446,0,3320.56099863164,959.500536652273,173.950642598446,2187.10981938092,3863.25216073152,432.456633350129,0
28,1,0,0,7.91262382524765,201.493481332641,993.167222148844,192.911227887805,0,5713.77947963226,993.167222148844,192.911227887805,4527.70102959561,4856.41938288037,625.367861237934,0
29,1,0,0,8.67259334518669,220.845962590578,1088.55616438913,254.005368705043,0,17470.8976865407,1088.55616438913,254.005368705043,16128.3361534465,5944.9755472695,879.373229942977,0
30,1,0,0,9.47726695453391,241.336825098983,1189.55622087884,331.470809603884,0,8299.78845897334,1189.55622087884,331.470809603884,6778.76142849062,7134.53176814834,1210.84403954686,0
31,1,0,0,9.85725171450343,251.013065727951,1237.25069199898,372.961057571523,0,6545.59772356826,1237.25069199898,372.961057571523,4935.38597399775,8371.78246014732,1583.80509711838,0
32,1,0,0,10.0360680721361,255.566590729819,1259.6951489967,393.628687639924,0,2371.16909168196,1259.6951489967,393.628687639924,717.845255045336,9631.47760914402,1977.43378475831,0
33,0,0,1,9.96901193802388,253.859018854119,0,0,-1215.12618793475,0,1251.27847762256,385.791180769876,-2852.19584632718,10882.7560867666,2363.22496552818,-1215.12618793475
34,0,0,1,9.74549149098298,248.167112601784,0,0,-2598.72640073507,0,1223.22290637541,360.418593109168,-4182.36790021965,12105.978993142,2723.64355863735,-3813.85258866983
35,0,0,1,9.47726695453391,241.336825098983,0,0,-2546.22982661164,0,1189.55622087884,331.470809603884,-4067.25685709437,13295.5352140208,3055.11436824124,-6360.08241528147
36,0,0,1,9.23139446278893,235.075728221415,0,0,-1836.41768988093,0,1158.69509250699,306.335885025542,-3301.44866741346,14454.2303065278,3361.45025326678,-8196.5001051624
37,0,0,1,8.98552197104394,228.814631343847,0,0,-2445.88114981958,0,1127.83396413513,282.504830743259,-3856.21994469796,15582.0642706629,3643.95508401004,-10642.381254982
38,0,0,1,8.2255524511049,209.462150085909,0,0,-15224.5081615731,0,1032.44502189484,216.716099354525,-16473.6692828224,16614.5092925578,3860.67118336456,-25866.889416555
39,0,0,1,7.13030226060452,181.57180944947,0,0,-9673.98794244894,0,894.972722783846,141.162638884786,-10710.1233041176,17509.4820153416,4001.83382224935,-35540.877359004
40,0,1,0,6.66090932181864,169.618806319568,836.056023164846,115.079114507945,0,951.135137672792,836.056023164846,115.079114507945,0,18345.5380385065,4116.9129367573,-35540.877359004
41,1,0,0,6.72796545593091,171.326378195268,844.472694538989,118.58976434166,0,2406.7467914106,844.472694538989,118.58976434166,1443.68433252995,19190.0107330455,4235.50270109896,-35540.877359004
42,1,0,0,6.86207772415545,174.741521946669,861.306037287275,125.823814061999,0,2459.59194466056,861.306037287275,125.823814061999,1472.46209331129,20051.3167703327,4361.32651516096,-35540.877359004
43,1,0,0,7.04089408178816,179.295046948537,883.750494284989,135.918752759301,0,3537.72331541049,883.750494284989,135.918752759301,2518.0540683662,20935.0672646177,4497.24526792026,-35540.877359004
44,1,0,0,7.39852679705359,188.402096952272,928.639408280417,157.700002636991,0,6907.44091118493,928.639408280417,157.700002636991,5821.10150026752,21863.7066728981,4654.94527055725,-35540.877359004
45,1,0,0,8.09144018288037,206.047006334509,1015.61167914656,206.287746135584,0,12796.9543173274,1015.61167914656,206.287746135584,11575.0548920453,22879.3183520447,4861.23301669283,-35540.877359004
46,1,0,0,8.98552197104394,228.814631343847,1127.83396413513,282.504830743259,0,14264.4052772049,1127.83396413513,282.504830743259,12854.0664823265,24007.1523161798,5143.73784743609,-35540.877359004
47,1,0,0,9.79019558039116,249.305493852251,1228.83402062484,365.401268577752,0,12798.3768200663,1228.83402062484,365.401268577752,11204.1415308637,25235.9863368047,5509.13911601384,-35540.877359004
48,1,0,0,10.1925323850648,259.550925106453,1279.3340488697,412.327449122243,0,3149.73471091256,1279.3340488697,412.327449122243,1458.07321292062,26515.3203856744,5921.46656513609,-35540.877359004
49,0,1,0,10.1925323850648,259.550925106453,176.653217480889,56.9350675904277,0,233.588285071317,1279.3340488697,412.327449122243,-1458.07321292062,27794.6544345441,6333.79401425833,-35540.877359004
50,0,1,0,10.1254762509525,257.843353230753,721.447783293952,229.472110904797,0,950.919894198749,1270.91737749556,404.242829699936,-724.240312996743,29065.5718120396,6738.03684395827,-35540.877359004
51,0,0,1,9.81254762509525,249.874684477484,0,0,-7524.59961904056,0,1231.63957774956,367.909735378728,-9124.14893216884,30297.2113897892,7105.94657933699,-43065.4769780445
52,0,0,1,9.00787401574803,229.38382196908,0,0,-13403.6901921483,0,1130.63952125984,284.61832448795,-14818.9480378961,31427.850911049,7390.56490382494,-56469.1671701928
53,0,0,1,8.06908813817628,205.477815709275,0,0,-9748.53660276124,0,1012.80612202184,204.582897390731,-10965.9256221738,32440.6570330709,7595.14780121567,-66217.7037729541
54,0,0,1,7.35382270764542,187.263715701805,0,0,-5760.02879041159,0,923.028294030988,154.858630098534,-6837.91571454111,33363.6853271019,7750.00643131421,-71977.7325633657
55,0,1,0,7.06324612649225,179.86423757377,886.556051409703,137.217330830391,0,1023.77338224009,886.556051409703,137.217330830391,0,34250.2413785116,7887.2237621446,-71977.7325633657
56,1,0,0,7.48793497586995,190.678859453206,939.861636779274,163.486591865312,0,11279.4841938197,939.861636779274,163.486591865312,10176.1359651752,35190.1030152908,8050.71035400991,-71977.7325633657
