second,is_mode_a,is_mode_b,is_mode_c,mean velocity (m/s),mean wheel speed (rev/min),net rolling energy (J),net aero energy (J),braked energy (J),total energy (J),gross rolling energy (J),gross aero energy (J),inertia energy (J),cumulative rr (J),cumulative aero (J),cumulative braking (J)
0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0.0447040894081788,1.1383812504669,5.6111142494285,3.47886604382187e-05,0,12.0062069894952,5.6111142494285,3.47886604382187e-05,6.39505795140623,5.6111142494285,3.47886604382187e-05,0
7,1,0,0,0.201168402336805,5.12271562710105,25.2500141224283,0.00317011668243268,0,97.1975861924307,25.2500141224283,0.00317011668243268,71.94440195332,30.8611283718568,0.0032049053428709,0
8,1,0,0,0.402336804673609,10.2454312542021,50.5000282448565,0.0253609334594615,0,165.636432303628,50.5000282448565,0.0253609334594615,115.111043125312,81.3611566167132,0.0285658388023324,0
9,1,0,0,0.625857251714503,15.9373375065366,78.555599491999,0.0954600842424722,0,347.243493535303,78.555599491999,0.0954600842424722,268.592433959061,159.916756108712,0.124025923044805,0
10,1,0,0,1.72110744221488,43.8276781429756,216.027898602997,1.98527143948016,0,5511.52238931898,216.027898602997,1.98527143948016,5293.5092192765,375.944654711709,2.10929736252497,0
11,1,0,0,4.44805689611379,113.268934421456,558.305867818136,34.2694353325958,0,25726.7518166651,558.305867818136,34.2694353325958,25134.1765135143,934.250522529845,36.3787326951207,0
12,1,0,0,7.68910337820676,195.801575080307,965.111650901702,177.020289629533,0,37440.480872713,965.111650901702,177.020289629533,36298.3489321818,1899.36217343155,213.399022324654,0
13,1,0,0,10.3266446532893,262.966068857854,1296.16739161798,428.818630927715,0,40133.7040786915,1296.16739161798,428.818630927715,38408.7180561458,3195.52956504953,642.217653252369,0
14,0,0,1,11.3324866649733,288.579646993359,0,0,-3684.87371501371,0,1422.41746223012,566.723990141341,-5674.01516738517,4617.94702727966,1208.94164339371,-3684.87371501371
15,1,0,0,11.9359918719837,303.947793874662,1498.16750459741,662.173033332707,0,31187.508579363,1498.16750459741,662.173033332707,29027.1680414329,6116.11453187707,1871.11467672642,-3684.87371501371
16,1,0,0,13.5676911353823,345.498709516704,1702.97317470155,972.55415249117,0,40523.0790481026,1702.97317470155,972.55415249117,37847.5517209099,7819.08770657861,2843.66882921759,-3684.87371501371
17,1,0,0,14.9535179070358,380.788528281178,1876.91771643383,1302.04523509833,0,27779.1521261041,1876.91771643383,1302.04523509833,24600.1891745719,9696.00542301245,4145.71406431592,-3684.87371501371
18,1,0,0,15.8923037846076,404.694534540983,1994.75111567183,1562.99115898993,0,25155.4517410485,1994.75111567183,1562.99115898993,21597.7094663867,11690.7565386843,5708.70522330585,-3684.87371501371
19,1,0,0,16.741681483363,426.323778299854,2101.36228641097,1827.22981219767,0,26680.6095252241,2101.36228641097,1827.22981219767,22752.0174266155,13792.1188250953,7535.93503550352,-3684.87371501371
20,1,0,0,17.501651003302,445.676259557791,2196.75122865126,2087.53134573197,0,23061.7714841997,2196.75122865126,2087.53134573197,18777.4889098165,15988.8700537465,9623.46638123548,-3684.87371501371
21,1,0,0,18.3510287020574,467.305503316662,2303.3623993904,2406.45192865364,0,34899.284152145,2303.3623993904,2406.45192865364,30189.4698241009,18292.2324531369,12029.9183098891,-3684.87371501371
22,1,0,0,19.2227584455169,489.503937700767,2412.77912725425,2765.94202546146,0,27177.7205055532,2412.77912725425,2765.94202546146,21998.9993528375,20705.0115803912,14795.8603353506,-3684.87371501371
23,1,0,0,19.6697993395987,500.887750205436,2468.89026974854,2963.43725076922,0,11059.9785177551,2468.89026974854,2963.43725076922,5627.65099723738,23173.9018501397,17759.2975861198,-3684.87371501371
24,0,0,1,19.5803911607823,498.610987704502,0,0,-5823.26334099192,0,2457.66804124968,2923.21014862202,-11204.1415308636,25631.5698913894,20682.5077347418,-9508.13705600563
25,0,0,1,19.2227584455169,489.503937700767,0,0,-5820.77852370303,0,2412.77912725425,2765.94202546146,-10999.4996764187,28044.3490186436,23448.4497602033,-15328.9155797087
26,0,0,1,18.5298450596901,471.85902831853,0,0,-25680.349052173,0,2325.80685638811,2477.48658130449,-30483.6424898656,30370.1558750318,25925.9363415078,-41009.2646318817
